          10  -10527.685268817690       -8516.1759752908911       -7125.1457361620387       -6832.9827659907787       -5307.5349344895749       -4060.4021294659879       -2687.4549655325859       -1521.7757061777841       -254.42588248504154        2118.5107286158141     
          20  -10413.372810124658       -8711.3088689878368       -7035.8893130056695       -6733.4239992117637       -5381.9993384710288       -3540.6344537653940       -2928.2559372559235       -1711.2855488477639       -501.40105558410738        693.36328201651099     
          30  -10419.634139831605       -8752.5599468499422       -7103.9002715592278       -6847.0137838725113       -5453.9771118748386       -4047.2297434074649       -2615.6659295950826       -1587.2485331567541       -215.24063943630483        1550.3243588672540     
          40  -10497.790949880145       -8735.2836166996676       -7207.4202667024983       -6930.2464058213291       -5487.4866568309144       -4259.2059804317933       -2749.1776662913271       -1616.1600296074203       -338.35250226177766        1475.8583919957755     
          50  -10422.137547623073       -8624.2109083895484       -7011.9754379973538       -6826.0741448544059       -5345.1151296338412       -3972.6212130469130       -2553.7914517945910       -1512.3147704014125       -149.71989423564176        1934.0259332472872     
          60  -10264.765441382444       -8343.9152934490849       -6818.7305981291011       -6605.2245951328305       -5103.6125254523049       -3840.7020496386349       -2110.8563846115062       -1263.6571904096202        532.73514065017594        3522.4896037356098     
          70  -10273.540019339924       -8451.0612502136864       -6826.5722043052747       -6651.6134443904211       -5168.0503962068515       -3840.3672040154556       -2119.0237146702611       -1316.0067534143097        521.72089121899887        3165.8316768243808     
          80  -10259.082929191818       -8429.3253092880004       -6763.5869745754908       -6627.7966260118701       -5124.4946581917402       -3670.8186730835705       -2193.0210987242726       -1336.3909119373232        322.03635502270487        2801.3416613916083     
          90  -10233.527956539538       -8376.7404502416848       -6723.1648788599814       -6598.3971523241580       -5075.7615414608872       -3648.3877430950324       -2124.9235753313296       -1290.5637070366331        439.77047614523980        3227.5528296312591     
         100  -10198.892266311626       -8381.7203096040557       -6652.1147652613563       -6555.9562896643884       -5042.1438047049114       -3478.0568554352321       -2033.1959513137303       -1257.7885584886337        630.23548147791632        3443.8121709523266     
         110  -10193.816483309511       -8373.2844867544427       -6657.4220569593253       -6525.4049434724266       -5026.1037721857938       -3385.0569372198252       -2123.0824913358001       -1300.1048929071389        376.24008366458509        2994.1776057107522     
         120  -10211.975837658561       -8393.3927594850065       -6694.2349530022530       -6568.7508275693326       -5064.2200434675196       -3524.3179049550790       -2118.6720711056423       -1306.1879504530427        415.41462504516113        3075.9117558487492     
         130  -10216.867207374413       -8387.1572681663147       -6701.9583564975574       -6569.4590074876742       -5064.9159564910169       -3538.9843869448496       -2109.9048693384593       -1304.1966180748566        443.02149497784461        3217.7967822964638     
         140  -10220.482812186081       -8388.0577575443622       -6705.4877908205799       -6571.6460328357625       -5066.6484550359264       -3538.4897987843124       -2125.7047071599900       -1312.8070185829474        410.88670688589588        3181.5544079055289     
         150  -10171.747940491006       -8377.4561520830575       -6646.9414234117321       -6486.3728601547073       -5017.8025712234739       -3313.3811547097171       -2078.3298516031709       -1300.7910002972633        439.10856034286394        3048.2635743846831     
         160  -10161.825023621350       -8369.3937164506151       -6640.0805502397452       -6471.4964066241982       -5009.6425553481649       -3293.5555842636577       -2055.8645191646756       -1291.0728371110008        480.96938137153467        3109.4203917086124     
         170  -10159.277797491723       -8373.5794247449521       -6640.5653969958648       -6454.3885125250263       -5005.7968332255723       -3230.8634879482838       -2073.5028943346515       -1299.5149699667600        427.38538613958434        2983.8372763602047     
         180  -10187.276647653380       -8414.2703892213995       -6681.1666002886195       -6502.5621372762125       -5055.5483941636858       -3330.6889046938099       -2120.8329041989964       -1327.6823917203108        365.25829291017305        2825.7037203565469     
         190  -10199.407187632738       -8407.4074216359586       -6682.8092451499242       -6520.0772899616386       -5054.5249927437353       -3354.4604941525731       -2130.3523376994199       -1322.3314152043922        362.58758734865307        2879.9051758859805     
         200  -10180.449573386450       -8374.1478852969813       -6652.9217164980028       -6493.9406423427463       -5019.6797008748918       -3318.8205055847202       -2097.1295791327457       -1301.4387543239645        410.72193084460855        3010.5905022130814     
