          10   5927.8388799480635        1498.3658947081553        3141.5131430976612        3619.2061597841985     
          20   5767.8823173252213        1463.0453173608871        3049.2160675838040        3597.3120358089732     
          30   5781.6694308996803        1456.7746728088644        3035.3752852614271        3608.2400530973382     
          40   5739.6654447361125        1455.5693771594661        3028.7773733863601        3609.7907548613498     
          50   5757.7892223245472        1462.7761403504178        3051.0793119501509        3607.7350152915947     
          60   5794.6659217471952        1468.1760539957086        3070.9751915202551        3607.8942403668893     
          70   5790.2307249599799        1468.1772772029867        3074.0196954554449        3609.3236062737783     
          80   5792.9305170865309        1471.6443189515282        3080.2602853798271        3614.8263462230261     
          90   5787.0586872309423        1473.4768477159157        3083.3039510123363        3611.6357180210998     
         100   5794.5957611898375        1473.0321425260461        3083.8833290825678        3613.4763384882931     
