10 -6585.5170730083892 -5624.3601556984513 -4278.1395685826392 -3059.5192353727380 -1784.1855946265443 -1098.0477845670687 1112.6138209837241 2707.2783202348019 6863.8198971345673 7560.2131072007141                                                                                         
20 -6330.9790469157742 -5893.1756305213485 -3860.9469541205281 -3251.5854725529475 -1788.6973925696118 -1129.4319112228759 556.89415996942921 2755.4520445114008 6743.1529171950824 7661.3725980533791                                                                                         
30 -6406.8438622010526 -5913.6083526297070 -3998.3794173289125 -3085.1194418915293 -1681.7709311492542 -1011.8708882986240 983.64485429477736 2899.4382566539784 6888.3018499864256 7656.6977975545587                                                                                         
40 -6478.2094840252821 -5872.8319958356351 -4157.0247438176375 -3146.9338981225292 -1747.6711315589932 -1079.9703814780519 933.35057865000385 2830.1836682969797 6863.3115956250158 7617.9594405979033                                                                                         
50 -6466.6244296802797 -5789.4415568876975 -4043.4756567613063 -2994.3880869963282 -1705.6769806958275 -982.12177820406612 1105.1231186214513 2895.8278608859732 6915.5960053924364 7611.7910266020790                                                                                         
60 -6520.9874308271983 -5620.3232729061283 -4186.3208754288835 -2586.8047245764283 -1643.3551633772388 -685.40131309852165 1673.6600159560292 3105.4331329953698 7100.1046045798330 7633.1246860676238                                                                                         
70 -6483.5135324477451 -5704.5589847529027 -4094.4494932256371 -2651.0763185692367 -1637.1707480217997 -695.12368568085981 1560.0299297317060 3127.6648635820402 7067.4437884975478 7638.1986498380384                                                                                         
80 -6441.0379542004121 -5676.3414527301029 -3968.2321395437534 -2736.3959827744343 -1624.5755204901502 -770.51739608720902 1416.7877304419926 3050.8332062903405 7022.6173413758570 7637.5649169619410                                                                                         
90 -6446.2000750056923 -5642.3913305260185 -3991.5007691285623 -2654.9625059289910 -1614.8637501771741 -726.12791467009401 1547.0301084653786 3079.0862057601557 7057.5682082664607 7637.4785493518912                                                                                         
100 -6412.1913540188125 -5658.7324224619306 -3878.7619754396160 -2592.4259841727235 -1589.7717097367388 -659.13607848501806 1614.9114610037300 3162.5029582052425 7078.8409125974740 7650.2123935361878                                                                                         
110 -6377.0035059991797 -5653.7807142088159 -3824.9518797208134 -2709.2954082955680 -1578.9345464631081 -759.77224980615927 1438.8316761655772 3062.5759902123805 7022.9180415701267 7653.2866653122283                                                                                         
120 -6400.9692038286857 -5668.4241476868610 -3906.5754240612659 -2692.4962041999702 -1591.5310256580481 -748.14208949638703 1482.8277755456436 3072.9530839185272 7035.4605853521398 7650.2788456922508                                                                                         
130 -6423.9215852582593 -5670.5942245337210 -3948.8589041165419 -2677.9767537274547 -1602.7881450450550 -743.39917053159763 1516.4542012398033 3070.9199752202767 7043.8416920741183 7643.1216246467029                                                                                         
140 -6421.7237555786269 -5672.4112959474260 -3943.9031425351882 -2699.2169946274412 -1605.2877279394995 -762.43534133699450 1487.4873090718334 3053.5225756911291 7031.4436946621308 7642.5293979299968                                                                                         
150 -6363.3937318786566 -5674.2900345474300 -3797.1055247069585 -2705.3617221922818 -1566.2206850992220 -747.08892797289332 1438.1865691062669 3079.2316215462238 7020.8651338105947 7659.4456553929340                                                                                         
160 -6363.6265242995587 -5670.9324955555612 -3795.9826896163481 -2685.7407481595783 -1559.9366406400202 -729.69419821092583 1465.6580683145432 3091.5786985066734 7030.8532117227669 7662.4272396682763                                                                                         
170 -6350.5378684448606 -5673.1520421126725 -3758.8330428586055 -2707.1415725300280 -1554.7468687391588 -746.30718859593253 1427.8544891866975 3077.1920668535881 7019.7447666325288 7663.2379511918134                                                                                         
180 -6364.1450349559927 -5700.5763770485510 -3791.3911364121491 -2744.2315555190412 -1570.5510630731583 -767.10657216615903 1379.5346846109601 3065.6734504455931 7006.6922944074586 7660.2717694111670                                                                                         
190 -6377.8529843710303 -5684.0385202273010 -3813.5786049736621 -2730.0315882672053 -1580.0699647801077 -767.37457872520451 1408.5814471378699 3058.8968564807537 7014.4471582638353 7652.8104453100959                                                                                         
200 -6374.1979602835172 -5662.7203817017216 -3806.0369895553908 -2703.4495904029113 -1572.3303533875533 -750.73615923323860 1443.6627098595070 3068.0566507731505 7023.7593728836082 7654.7719543384255                                                                                         
