0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
2.44391033632	4.48929507934	5.2589528204	6.69089943853	7.31090460541	8.12757779842	9.15316209521	9.66991928369	10.9984104971	11.6818510253	12.0781171	12.5540333211	13.7671495366	15.2188544992	16.1744280436	17.2111823548	19.1610320305	22.8338729215	29.8929454392	62.0852269716
2.40592637241	4.44513363464	5.24197237393	6.64015280871	7.28005842579	8.08493488376	9.01686499927	9.52239784491	10.9292995553	11.032187873	12.1686938064	13.2090806829	13.7560756809	14.8948904601	16.1599124206	17.1700794678	19.9358577144	20.3570698695	25.3639557438	48.7229866935
2.43509108401	4.46419537319	5.27791879635	6.64184749732	7.31145368322	8.13818908458	8.99711995734	9.57551578029	10.6754099253	11.034540544	12.2354736881	13.7779269877	14.0399573393	14.8194967262	16.2749376353	18.1005587293	18.7164230194	22.4408450223	25.4111701439	47.2973114472
2.42148017688	4.4541068771	5.25965603137	6.63439778402	7.28999867179	8.11427019819	9.00011541073	9.55180969232	10.7250646733	11.0096392015	12.232620283	13.7229243681	13.8543452147	14.701740607	16.2208817075	18.0027029985	18.7334175627	21.7569949138	25.8709525457	48.8161441478
2.39694485813	4.42766373335	5.23325129372	6.60311544293	7.26828709605	8.07670504457	8.95702916286	9.50970777932	10.714911446	10.9745361155	12.1553155687	13.6479736551	13.7089919819	14.6803295161	16.1143647105	17.799630551	18.6972914486	21.3638469994	25.0302648045	46.7400421578
2.40156005788	4.43160314	5.23910044022	6.60718751661	7.27597145604	8.08376369286	8.95977950644	9.51821125216	10.7016377536	10.9815509919	12.1590146204	13.6923667703	13.7540475428	14.6970367696	16.1306114427	17.9216977856	18.6154748912	21.5488203206	24.8756484234	46.2619776801
2.37739263294	4.40397700153	5.21147983583	6.56899296243	7.24662209468	8.04878296315	8.90693055857	9.47896657359	10.6538038654	10.9391666675	12.1019493093	13.6381820686	13.6451018491	14.611260698	16.0555061516	17.8001482044	18.3926505679	21.3832380998	24.5983123034	45.3538881869
2.41146604347	4.44522480824	5.24946834755	6.62861477626	7.28523803195	8.09709575721	8.99430358636	9.53291936286	10.7638337502	11.0012340667	12.1933308213	13.6504751089	13.7579349759	14.7369674034	16.160615652	17.7940560639	18.9471568925	21.3416587099	25.2956316235	47.6394587447
2.40527594604	4.43963398556	5.24251015989	6.62430747217	7.28045359096	8.08647203872	8.98946670536	9.52212613679	10.7902919914	10.9944228076	12.1721117092	13.5598194548	13.7321721375	14.7568200078	16.1343141931	17.6512168739	19.1107276966	21.0885017855	25.068999995	47.2313001323
2.40600968905	4.4375876307	5.24373485809	6.61620838836	7.27952659879	8.09005912833	8.97433599008	9.52470259926	10.7247827504	10.989919249	12.1756120447	13.6865110139	13.7512302056	14.7095378692	16.1427703405	17.8759030206	18.736898452	21.4782244996	25.1011943337	46.950347684
