          10  -4470.3021525146332       -3837.6353681737132        632.66678434091978       -2734.3408583894325        1735.9612941252005       -1408.9085884046724        3061.3935641099611     
          20  -4207.2385339126831       -4023.9919613509678        183.24657256171525       -2195.3363758478345        2011.9021580648484       -1835.5128735653764        2371.7256603473065     
          30  -4283.9747587659858       -4078.8171310858329        205.15762768015287       -2431.2494082826574        1852.7253504833282       -1440.6264463557200        2843.3483124102654     
          40  -4345.1026422979885       -4054.3957555667243        290.70688673126409       -2568.0284169765268        1777.0742253214617       -1501.4118384520395        2843.6908038459492     
          50  -4337.2501288718922       -3984.3945457996583        352.85558307223403       -2504.1105266993650        1833.1396021725275       -1338.8343408235821        2998.4157880483099     
          60  -4453.5296421943476       -3848.5651480946794        604.96449409966772       -2708.3252508081609        1745.2043913861864       -835.28969590811732        3618.2399462862295     
          70  -4398.7244280391014       -3919.0434881337133        479.68093990538824       -2611.4940904906748        1787.2303375484269       -922.61016604157544        3476.1142619975262     
          80  -4342.7044219345589       -3892.0767338763285        450.62768805823004       -2493.6046266029689        1849.0997953315896       -1052.6613435060860        3290.0430784284727     
          90  -4359.1997023726381       -3864.4175803650442        494.78212200759378       -2531.2119449483089        1827.9877574243289       -946.27955199289602        3412.9201503797422     
         100  -4314.2948011617491       -3879.7385093469079        434.55629181484096       -2429.7599755251231        1884.5348256366258       -887.25775705446517        3427.0370441072837     
         110  -4272.9830983158208       -3875.0969510139175        397.88614730190341       -2370.4676021197015        1902.5154961961196       -1046.7134050668724        3226.2696932489484     
         120  -4304.2271621959126       -3887.8649029912467        416.36225920466580       -2446.5999476877510        1857.6272145081614       -1006.5769637815291        3297.6501984143833     
         130  -4334.7864557271796       -3891.3432841433391        443.44317158384030       -2496.4504619251743        1838.3359938020051       -977.82403711968607        3356.9624186074934     
         140  -4330.2120141540845       -3893.5815862282989        436.63042792578602       -2488.3195378822620        1841.8924762718229       -1007.8126451678296        3322.3993689862555     
         150  -4261.6345193856996       -3894.4028924941226        367.23162689157687       -2349.5961786216958        1912.0383407640036       -1047.2509635851420        3214.3835558005576     
         160  -4265.7731855520942       -3891.8745425434845        373.89864300860916       -2355.0796645851528        1910.6935209669409       -1021.7659694907537        3244.0072160613404     
         170  -4249.0193235384231       -3893.1316469201702        355.88767661825250       -2318.0750315471937        1930.9442919912290       -1054.0786987593460        3194.9406247790766     
         180  -4259.9334490286892       -3915.9725616091027        343.96088741958613       -2337.3414035280693        1922.5920455006196       -1092.7423161991155        3167.1911328295732     
         190  -4274.4047960859552       -3900.7555428911714        373.64925319478414       -2362.5850224685300        1911.8197736174257       -1067.9923433043491        3206.4124527816066     
         200  -4274.0440638853115       -3883.4999207559390        390.54414312937257       -2361.7562670574744        1912.2877968278372       -1040.4437912900889        3233.6002725952226     
